"task","id","group","session","phase","piss","thirsty","hungry"
"internal",238,"obese","second",1,16.48352,54.67033,45.05495
"internal",238,"obese","second",2,14.28571,68.95604,60.16484
"internal",238,"obese","second",3,85.16484,70.87912,91.75824
"internal",238,"obese","second",4,NA,NA,NA
"internal",238,"obese","second",5,91.75824,31.59341,91.75824
"internal",239,"obese","second",1,9.340659,60.98901,64.56044
"internal",239,"obese","second",2,11.26374,58.79121,58.51648
"internal",239,"obese","second",3,12.08791,29.12088,54.94505
"internal",239,"obese","second",4,15.38462,13.73626,47.8022
"internal",239,"obese","second",5,15.10989,8.241758,30.76923
"internal",240,"obese","second",1,8.241758,54.12088,36.53846
"internal",240,"obese","second",2,8.241758,53.2967,46.42857
"internal",240,"obese","second",3,8.241758,39.56044,58.79121
"internal",240,"obese","second",4,8.241758,58.24176,59.34066
"internal",240,"obese","second",5,8.241758,67.30769,75
"internal",241,"obese","second",1,10.43956,59.89011,19.23077
"internal",241,"obese","second",2,12.91209,61.81319,17.03297
"internal",241,"obese","second",3,63.18681,50,20.6044
"internal",241,"obese","second",4,14.01099,50,16.48352
"internal",241,"obese","second",5,23.35165,50,27.47253
"internal",242,"obese","second",1,17.30769,61.26374,14.56044
"internal",242,"obese","second",2,20.05495,50,21.97802
"internal",242,"obese","second",3,26.37363,66.75824,20.87912
"internal",242,"obese","second",4,40.10989,60.16484,30.21978
"internal",242,"obese","second",5,50.54945,56.31868,37.63736
"internal",244,"obese","second",1,8.241758,54.67033,41.48352
"internal",244,"obese","second",2,10.16484,57.41758,53.84615
"internal",244,"obese","second",3,24.72527,55.49451,63.46154
"internal",244,"obese","second",4,59.34066,58.51648,61.26374
"internal",244,"obese","second",5,84.34066,58.79121,65.93407
"internal",245,"obese","second",1,8.241758,72.25275,76.92308
"internal",245,"obese","second",2,8.241758,74.72527,76.64835
"internal",245,"obese","second",3,13.46154,66.48352,67.03297
"internal",245,"obese","second",4,20.05495,65.65934,65.93407
"internal",245,"obese","second",5,81.59341,8.241758,16.75824
"internal",246,"obese","second",1,8.241758,56.31868,66.48352
"internal",246,"obese","second",2,8.241758,60.43956,67.58242
"internal",246,"obese","second",3,8.241758,58.51648,67.58242
"internal",246,"obese","second",4,14.56044,50,62.36264
"internal",246,"obese","second",5,45.05495,43.40659,50
"internal",247,"obese","second",1,8.241758,34.61538,23.9011
"internal",247,"obese","second",2,8.241758,13.18681,18.13187
"internal",247,"obese","second",3,12.63736,28.2967,56.86813
"internal",247,"obese","second",4,8.241758,20.32967,25
"internal",247,"obese","second",5,43.13187,63.46154,40.38462
"internal",248,"obese","second",1,8.241758,28.57143,66.48352
"internal",248,"obese","second",2,13.18681,8.241758,74.17582
"internal",248,"obese","second",3,15.93407,9.89011,79.94505
"internal",248,"obese","second",4,57.14286,16.75824,87.63736
"internal",248,"obese","second",5,81.04396,8.241758,81.31868
"internal",249,"obese","second",1,8.241758,50,66.75824
"internal",249,"obese","second",2,8.241758,50,68.95604
"internal",249,"obese","second",3,8.241758,8.241758,59.06593
"internal",249,"obese","second",4,59.34066,8.241758,55.21978
"internal",249,"obese","second",5,83.51648,8.241758,40.65934
"internal",250,"obese","second",1,9.89011,54.12088,24.45055
"internal",250,"obese","second",2,8.241758,61.53846,36.26374
"internal",250,"obese","second",3,8.241758,65.65934,31.86813
"internal",250,"obese","second",4,8.241758,75.82418,27.74725
"internal",250,"obese","second",5,10.71429,47.52747,27.74725
"internal",251,"obese","second",1,8.241758,23.62637,10.16484
"internal",251,"obese","second",2,8.241758,10.16484,12.63736
"internal",251,"obese","second",3,14.01099,13.73626,27.74725
"internal",251,"obese","second",4,87.36264,30.21978,28.57143
"internal",251,"obese","second",5,91.75824,18.13187,40.10989
"internal",252,"obese","second",1,9.065934,77.47253,68.13187
"internal",252,"obese","second",2,9.89011,66.48352,56.04396
"internal",252,"obese","second",3,10.43956,58.79121,42.30769
"internal",252,"obese","second",4,37.36264,47.8022,29.67033
"internal",252,"obese","second",5,75.82418,32.96703,23.07692
"internal",253,"obese","second",1,56.59341,63.18681,91.75824
"internal",253,"obese","second",2,68.68132,62.08791,71.97802
"internal",253,"obese","second",3,67.58242,60.43956,10.98901
"internal",253,"obese","second",4,79.94505,74.72527,10.43956
"internal",253,"obese","second",5,91.75824,61.53846,27.1978
"internal",254,"obese","second",1,37.91209,40.10989,63.73626
"internal",254,"obese","second",2,32.14286,47.25275,68.40659
"internal",254,"obese","second",3,22.52747,49.45055,85.98901
"internal",254,"obese","second",4,25,43.13187,89.83516
"internal",254,"obese","second",5,10.43956,50.54945,91.20879
"internal",256,"obese","second",1,50,50,17.58242
"internal",256,"obese","second",2,8.241758,8.241758,11.53846
"internal",256,"obese","second",3,9.065934,8.241758,9.615385
"internal",256,"obese","second",4,50,50,8.241758
"internal",256,"obese","second",5,16.48352,11.26374,8.241758
"internal",258,"obese","second",1,8.241758,50,50
"internal",258,"obese","second",2,8.241758,50,41.75824
"internal",258,"obese","second",3,NA,NA,NA
"internal",258,"obese","second",4,8.241758,18.13187,62.08791
"internal",258,"obese","second",5,8.241758,8.241758,69.78022
"internal",259,"obese","second",1,8.241758,29.3956,49.45055
"internal",259,"obese","second",2,8.241758,19.78022,50
"internal",259,"obese","second",3,8.241758,26.92308,30.49451
"internal",259,"obese","second",4,11.26374,13.73626,20.32967
"internal",259,"obese","second",5,82.14286,8.241758,19.78022
"internal",262,"obese","second",1,8.791209,56.31868,79.94505
"internal",262,"obese","second",2,NA,NA,NA
"internal",262,"obese","second",3,8.241758,35.43956,87.63736
"internal",262,"obese","second",4,8.241758,22.52747,85.98901
"internal",262,"obese","second",5,8.241758,25.27473,86.81319
"internal",263,"obese","second",1,8.241758,76.64835,59.06593
"internal",263,"obese","second",2,8.241758,64.83516,62.91209
"internal",263,"obese","second",3,8.241758,59.34066,62.08791
"internal",263,"obese","second",4,8.241758,56.86813,59.34066
"internal",263,"obese","second",5,14.28571,23.07692,54.3956
"internal",264,"obese","second",1,8.241758,62.91209,73.62637
"internal",264,"obese","second",2,8.516484,69.23077,88.18681
"internal",264,"obese","second",3,8.241758,57.96703,87.91209
"internal",264,"obese","second",4,12.08791,64.83516,82.69231
"internal",264,"obese","second",5,50,62.36264,82.14286
"internal",265,"obese","second",1,29.3956,50,50
"internal",265,"obese","second",2,8.241758,29.67033,26.64835
"internal",265,"obese","second",3,15.10989,43.68132,36.81319
"internal",265,"obese","second",4,15.10989,34.34066,23.9011
"internal",265,"obese","second",5,17.58242,14.28571,35.71429
"internal",266,"obese","second",1,8.241758,8.241758,10.71429
"internal",266,"obese","second",2,8.241758,8.241758,9.340659
"internal",266,"obese","second",3,9.615385,8.241758,8.241758
"internal",266,"obese","second",4,15.65934,8.241758,8.241758
"internal",266,"obese","second",5,89.83516,21.97802,15.93407
"internal",267,"obese","second",1,8.241758,75,15.65934
"internal",267,"obese","second",2,8.241758,74.45055,17.58242
"internal",267,"obese","second",3,68.68132,67.30769,15.65934
"internal",267,"obese","second",4,18.13187,68.40659,10.43956
"internal",267,"obese","second",5,68.95604,77.1978,10.16484
"internal",268,"obese","second",1,NA,NA,NA
"internal",268,"obese","second",2,9.89011,50,50
"internal",268,"obese","second",3,24.45055,25,32.14286
"internal",268,"obese","second",4,41.20879,50,50
"internal",268,"obese","second",5,70.05495,23.35165,38.18681
"internal",269,"obese","second",1,8.241758,72.52747,75.82418
"internal",269,"obese","second",2,8.241758,76.37363,81.86813
"internal",269,"obese","second",3,28.02198,59.34066,82.69231
"internal",269,"obese","second",4,22.52747,65.65934,79.12088
"internal",269,"obese","second",5,31.31868,73.62637,71.42857
"internal",270,"obese","second",1,8.241758,75.54945,75.27473
"internal",270,"obese","second",2,8.241758,68.13187,76.64835
"internal",270,"obese","second",3,8.241758,35.98901,90.93407
"internal",270,"obese","second",4,89.56044,48.07692,91.75824
"internal",270,"obese","second",5,91.75824,48.9011,91.75824
"internal",201,"obese","third",1,37.08791,43.40659,41.75824
"internal",201,"obese","third",2,31.86813,41.75824,37.36264
"internal",201,"obese","third",3,36.53846,36.26374,36.53846
"internal",201,"obese","third",4,34.89011,40.38462,36.53846
"internal",201,"obese","third",5,NA,NA,NA
"internal",202,"obese","third",1,19.50549,57.14286,44.23077
"internal",202,"obese","third",2,18.40659,57.14286,27.74725
"internal",202,"obese","third",3,27.1978,62.36264,53.84615
"internal",202,"obese","third",4,53.2967,67.58242,67.03297
"internal",202,"obese","third",5,57.69231,73.07692,69.23077
"internal",203,"obese","third",1,10.16484,76.0989,65.10989
"internal",203,"obese","third",2,13.73626,68.13187,68.68132
"internal",203,"obese","third",3,27.74725,54.12088,55.49451
"internal",203,"obese","third",4,28.2967,58.24176,53.84615
"internal",203,"obese","third",5,64.01099,21.7033,42.30769
"internal",204,"obese","third",1,14.83516,59.34066,39.01099
"internal",204,"obese","third",2,18.13187,58.24176,24.72527
"internal",204,"obese","third",3,26.37363,43.40659,24.45055
"internal",204,"obese","third",4,50,29.94505,29.3956
"internal",204,"obese","third",5,67.30769,24.17582,34.61538
"internal",205,"obese","third",1,26.92308,37.63736,50
"internal",205,"obese","third",2,11.26374,35.43956,33.79121
"internal",205,"obese","third",3,25,50,50
