"","ID","trial","item_condition","run","bin","congr","CS","CS_pupil","CS_DW_L","CS_DW_R","CS_DW_congr","CS_DW_cue","ANT_DW_L","ANT_DW_R","ANT_DW_congr","ANT_DW_cue","US_RT","US_ACC","CS_liking"
"167","sub-02",5,3,1,"bin01","congr","CSpL",-0.0249133,0,0,0,0,0.3059701,0,0.3059701,0.1641791,0.1639279,1,NA
"168","sub-02",6,3,1,"bin01","incongr","CSpR",0.1122649,0,0,0,0,0,0,0,0.1323529,0.2836314,1,NA
"169","sub-02",7,1,1,"bin01","congr","CSmi",0.07590114,0,0,0,0.9414414,0.1393443,0.2786885,0.2090164,0.3770492,NA,1,NA
"170","sub-02",8,2,1,"bin01","congr","CSmi",-0.218715,0,0,0,0,0,0,0,0.3111111,NA,1,NA
"171","sub-02",9,4,1,"bin01","congr","CSpL",-0.1082786,0,0,0,0,0.9191176,0,0.9191176,0.07352941,-0.06505556,1,NA
"172","sub-02",10,5,1,"bin01","congr","CSpL",-0.2050678,0,0,0,0,0.8978102,0,0.8978102,0.1021898,0.1865363,1,NA
"173","sub-02",11,3,1,"bin01","incongr","CSmi",-0.10185,0,0,0,0,0,0.08270677,0.04135338,0.1654135,0.3957405,1,NA
"174","sub-02",12,6,1,"bin01","congr","CSpL",-0.03377911,0,0,0,0,0.8181818,0,0.8181818,0.1287879,0.09478938,1,NA
"175","sub-02",13,4,1,"bin01","congr","CSmi",-0.09919661,0,0,0,0,0,0,0,0.1231884,NA,1,NA
"176","sub-02",14,4,1,"bin01","congr","CSpR",-0.06634869,0,0,0,0,0,0.8467153,0.8467153,0.1459854,NA,1,NA
"177","sub-02",15,5,1,"bin01","congr","CSpR",-0.0181466,0,0,0,0,0,0.8676471,0.8676471,0.1029412,0.1549832,1,NA
"178","sub-02",16,5,1,"bin01","congr","CSmi",-0.02830668,0,0,0,0,0.1221374,0.1068702,0.1145038,0.09923664,NA,1,NA
"179","sub-02",17,6,1,"bin01","incongr","CSmi",0.0425494,0,0,0,0.8362069,0,0,0,0,0.240583,1,NA
"180","sub-02",18,7,1,"bin01","congr","CSmi",-0.07038122,0,0,0,0,0,0,0,0.115942,NA,1,NA
"181","sub-02",19,8,1,"bin01","congr","CSmi",-0.2622002,0,0,0,0,0,0,0,0.02898551,NA,1,NA
"182","sub-02",20,7,1,"bin01","congr","CSpL",0.1145497,0,0,0,0,1,0,1,0,NA,1,NA
"183","sub-02",21,6,1,"bin01","congr","CSpR",-0.2148371,0,0,0,0,0,0.8613139,0.8613139,0.1313869,-0.08309395,1,NA
"184","sub-02",22,8,1,"bin01","congr","CSpL",-0.1246095,0,0,0,0,0,0,0,0,0.182226,1,NA
"185","sub-02",23,9,1,"bin01","congr","CSpL",0.2817169,0,0,0,0.8,1,0,1,0,0.02005201,1,NA
"186","sub-02",24,7,1,"bin01","congr","CSpR",-0.1041386,0,0,0,0,0,0.8455882,0.8455882,0.1176471,NA,1,NA
"187","sub-02",25,10,1,"bin02","congr","CSpL",0.2812832,0.7375566,0,0.7375566,0.1674208,1,0,1,0,0.1053322,1,NA
"188","sub-02",26,8,1,"bin01","congr","CSpR",0.02380636,0,0,0,0,0,0.9705882,0.9705882,0,0.030949,1,NA
"189","sub-02",27,9,1,"bin01","incongr","CSmi",-0.02988557,0,0,0,0,0,0,0,0.1052632,0.4184396,1,NA
"190","sub-02",28,10,1,"bin02","congr","CSmi",-0.07942119,0,0,0,0.8666667,0,0,0,0,NA,1,NA
"191","sub-02",29,11,1,"bin02","congr","CSmi",0.2232123,0,0,0,0,0,0,0,0.125,NA,1,NA
"192","sub-02",30,9,1,"bin01","congr","CSpR",0.01477859,0,0,0,0,0,0.9051095,0.9051095,0.08759124,-0.2617749,1,NA
"193","sub-02",31,11,1,"bin02","congr","CSpL",0.2397876,0,0,0,0,0.8759124,0,0.8759124,0.1167883,NA,1,NA
"194","sub-02",32,10,1,"bin02","congr","CSpR",0.3068036,0,0,0,0.7654321,0,0.9022556,0.9022556,0,-0.1724523,1,NA
"195","sub-02",33,12,1,"bin02","congr","CSpL",-0.1607769,0,0,0,0.7021277,1,0,1,0,-0.1519731,1,NA
"196","sub-02",34,11,1,"bin02","congr","CSpR",-0.04746316,0,0.627907,0.627907,0.2868217,0,0.9779412,0.9779412,0,-0.35529,1,NA
