ID   trial   item_condition   run   bin   congr   CS   CS_pupil   CS_DW_L   CS_DW_R   CS_DW_congr   CS_DW_cue   ANT_DW_L   ANT_DW_R   ANT_DW_congr   ANT_DW_cue   US_RT   US_ACC   CS_liking
sub-01   121   41   03   bin05    congr   CSmi  -3.054188e-01   0   0   0   3.367347e-01   3.833333e-01   1.250000e-01   2.541667e-01   1.916667e-01   NaN   1   NaN
sub-01   122   41   03   bin05    congr   CSpL  4.226962e-01   0   0   0   7.548387e-01   8.604651e-01   0   8.604651e-01   7.751938e-02   -1.876616e-01   1   NaN
sub-01   123   42   03   bin05    congr   CSpL  2.194635e-01   0   0   0   3.555556e-01   5.476190e-01   0   5.476190e-01   2.619048e-01   1.727073e-01   1   NaN
sub-01   124   41   03   bin05    congr   CSpR  -3.674007e-01   0   0   0   5.329949e-01   0   0   0   7.461538e-01   7.214182e-02   1   NaN
sub-01   125   42   03   bin05    congr   CSpR  -5.247528e-01   0   0   0   2.812500e-01   0   7.758621e-02   7.758621e-02   5.172414e-02   9.831041e-02   1   NaN
sub-01   126   43   03   bin05    incongr   CSpL  -4.841486e-02   0   0   0   5.276074e-01   6.324786e-01   0   6.324786e-01   8.547009e-02   -1.458736e-02   1   NaN
sub-01   127   43   03   bin05    congr   CSpR  7.763389e-02   0   0   0   9.836066e-02   0   7.017544e-01   7.017544e-01   0   -1.550877e-02   1   NaN
sub-01   128   42   03   bin05    incongr   CSmi  7.055162e-02   0   0   0   4.972678e-01   0   0   0   8.045113e-01   1.420696e-01   1   NaN
sub-01   129   44   03   bin05    congr   CSpR  6.181104e-01   0   0   0   1.153846e-01   0   0   0   1.264368e-01   -3.236396e-02   1   NaN
sub-01   130   44   03   bin05    congr   CSpL  -3.781059e-02   0   0   0   0   0   0   0   0   -1.012508e-02   1   NaN
sub-01   131   45   03   bin05    congr   CSpR  2.560304e-02   0   0   0   0   0   3.906250e-02   3.906250e-02   0   NaN   1   NaN
sub-01   132   43   03   bin05    incongr   CSmi  5.071975e-01   0   0   0   0   0   0   0   0   -2.997771e-02   1   NaN
sub-01   133   44   03   bin05    congr   CSmi  -4.917275e-01   0   0   0   1.333333e-01   0   3.076923e-02   1.538462e-02   0   NaN   1   NaN
sub-01   134   45   03   bin05    congr   CSmi  2.253792e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   135   46   03   bin06    congr   CSpR  -2.742694e-01   0   0   0   0   0   0   0   0   -9.255705e-02   1   NaN
sub-01   136   47   03   bin06    congr   CSpR  6.694409e-02   0   0   0   0   0   0   0   0   2.050402e-01   1   NaN
sub-01   137   45   03   bin05    congr   CSpL  -1.884575e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   138   48   03   bin06    congr   CSpR  4.074785e-01   0   0   0   0   0   0   0   0   4.757635e-02   1   NaN
sub-01   139   49   03   bin06    congr   CSpR  -1.843304e-02   0   0   0   0   0   0   0   0   -2.183363e-03   1   NaN
sub-01   140   46   03   bin06    congr   CSmi  -1.630278e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   141   50   03   bin06    congr   CSpR  -5.104684e-01   0   0   0   0   0   6.176471e-01   6.176471e-01   0   NaN   1   NaN
sub-01   142   46   03   bin06    congr   CSpL  5.545663e-01   0   0   0   0   4.015748e-01   0   4.015748e-01   0   9.846874e-02   1   NaN
sub-01   143   47   03   bin06    incongr   CSmi  7.612777e-03   0   0   0   6.682927e-01   0   0   0   6.557377e-02   -3.145574e-02   1   NaN
sub-01   144   47   03   bin06    congr   CSpL  2.296126e-01   0   0   0   5.070423e-01   4.841270e-01   0   4.841270e-01   3.253968e-01   -2.500294e-01   1   NaN
